Production_lid,Output_Voucher_No,Output_Voucher_Date,FG_name,Output_Item_Code,Output_Item_Name,Output_Batch_No,Output_Purity,Output_Recovery,Output_UOM,Output_Quantity,JobWork_Rate,JobWork_Value,Output_Rate,Output_Value
615958,SSM2425JWGRN00116,26/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#58+59+60+61/25,93.25,100,KGS,2160.0,0.0,0.0,1448.155,3128015.589
593862,SSM2425JWGRN00099,26/12/2024,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#05+06+07+08/25,96.60,100,KGS,2350.0,0.0,0.0,1330.413,3126470.3
597144,SSM2425JWGRN00101,31/12/2024,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#09+10+11+12+13/25,91.38,100,KGS,0.0,0.0,0.0,0.0,0.0
610591,SSM2425JWGRN00115,23/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#48+49/25,95.22,100,KGS,1165.0,0.0,0.0,1356.981,1580883.265
610591,SSM2425JWGRN00115,23/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#56+57/25,92.85,100,KGS,955.0,0.0,0.0,1647.229,1573103.294
621054,SSM2425JWGRN00119,09/02/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#80+81/25,94.30,100,KGS,1105.0,0.0,0.0,1427.101,1576946.241
592150,SSM2425JWGRN00098,20/12/2024,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#01+02+03+04/25,90.59,100,KGS,0.0,0.0,0.0,0.0,0.0
602869,SSM2425JWGRN00108,09/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#26+27/25,92.61,100,KGS,1165.0,0.0,0.0,1349.307,1571942.974
605596,SSM2425JWGRN00109,10/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#30+31/25,92.96,100,KGS,1336.0,0.0,0.0,1181.225,1578117.214
113001,SSM2223JWGRN00094,01/09/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#01+02/22,,,KGS,1820.0,335.0,609700.0,4138.794,7532604.919
113002,SSM2223JWGRN00095,10/09/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#03TO#06/22,,,KGS,3998.0,335.0,1339330.0,3924.748,15691143.294
113003,SSM2223JWGRN00096,25/09/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#07+08+09/22,,,KGS,2956.8,335.0,990528.0,3963.478,11719211.204
113004,SSM2223JWGRN00097,24/09/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID","#1,2,6&10/22",,,KGS,1240.0,335.0,415400.0,3022.698,3748145.42
169957,SSM2223JWGRN00245,05/12/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#39+40/22,,,KGS,1800.0,335.0,603000.0,1808.194,3254750.069
169994,SSM2223JWGRN00246,10/12/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#41+42/22,,,KGS,1800.0,335.0,603000.0,1789.558,3221204.213
170026,SSM2223JWGRN00250,29/12/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#48+49/22,,,KGS,1800.0,335.0,603000.0,1785.28,3213503.984
126959,SSM2223JWGRN00113,31/10/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#13to#17/22,,,KGS,5006.0,335.0,1677010.0,2319.63,11612067.987
127039,SSM2223JWGRN00115,31/10/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#BLD001to#17,,,KGS,1700.0,1.0,1700.0,3257.128,5537118.449
154866,SSM2223JWGRN00177,30/11/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#35+36(I)/22,,,KGS,1350.0,335.0,452250.0,2179.778,2942700.919
